COC,CAS,type,m_mol,D_a,D_w,Log_Koc_Kd,,logKd_pH,logKd_pH_sat,H,,p_vap,C_sol,pKa,pKb,RfD_oral,RfD_dermal,RfC_inhal,SF_oral,SF_dermal,URF_inhal,is_carcinogenic,MCL,TWA,AQL,BCF,,,,,,,,lamda_s,lambda_w,lambda_s_unsat
"Hexane, n-",110543,O,86.2,0.2,0.00000777,2.68,Koc,0,0,0.122,5.031375264,150,13,-,-,0.06,0.048,0.19985,-,-,-,FALSE,-,180,-,1,0.5,-,-,-,-,-,-,-,-,-
"Phthalate, bis(2-Ethylhexyl)",117817,O,391.07,0.0351,0.00000366,5.21,Koc,0,0,0.0000003,1.23722E-005,0.0000002,0.34304386,-,-,0.02,-,-,0.014,0.073684211,0.000004,TRUE,0.006,5,-,850,0.5,-,-,-,-,-,0.01,0.66,389,10
"Phthalate, di-n-octyl-",117840,O,390.6,0.036604093,4.02295E-005,5.042318506,Koc,0,0,1.80332E-010,7.43703E-009,1E-010,0.285,-,-,0.02,0.016,-,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,0.01,0.66,28,28
Hexachlorobenzene,118741,P,284.78,0.0542,0.00000591,3.4,Koc,0,0,0.0015,0.061861171,0.0000123,0.006,-,-,0.0008,-,5.6,1.6,3.2,0.00046,TRUE,0.001,-,-,18500,0,-,-,-,-,-,0.01,0.66,4178,4178
Anthracene,120127,PAH,178.23,0.0324,0.00000774,4.15,Koc,0,0,0.0675,2.783752708,0.0000013,0.045,-,-,0.3,0.267,-,-,-,-,FALSE,-,-,-,917,0.05,-,-,-,-,-,0.01,0.66,920,920
"Trichlorobenzene, 1,2,4-",120821,AC,181.5,0.03,0.00000823,3.91,Koc,0,0,0.00142,0.058561909,0.18,30.27242402,-,-,0.01,0.0097,0.19985,-,-,-,FALSE,0.07,40,-,2800,0.5,0.1,1.1,9.3,0.95,0.502097032,0.01,0.66,360,360
Dibromochloromethane,124481,OC,208.29,0.0199,0.0000103,2.05,Koc,0,0,0.000783,0.032291531,15,5250.30248,-,-,0.02,-,-,0.084,0.14,-,TRUE,0.1,-,-,1,0.5,-,-,-,-,-,0.001,-,180,180
Tetrachloroethene,127184,C,165.83,0.072,0.0000082,2.19,Koc,0,0,0.0184,0.758830368,19,200,-,-,0.01,-,0.035,0.052,0.052,0.00000058,TRUE,0.005,680,-,49,0.5,0.048,0.9,4.3,0.25,0.21799865,0.0005,-,720,720
Pyrene,129000,PAH,202.3,0.0272,0.00000724,4.58,Koc,0,0,0.000000007,2.88685E-007,0.000000042,0.16,-,-,0.03,0.0267,-,-,-,-,FALSE,-,-,-,2700,0.05,-,-,-,-,-,0.01,0.66,3800,3800
"Phthalate, di-methyl-",131113,O,194.18,0.058815947,0.000069592,1.005086735,Koc,0,0,0.00000215,8.86677E-005,0.000187,1744,-,-,-,-,-,-,-,-,FALSE,-,5,-,57,0.5,-,-,-,-,-,0.01,0.66,1163,14
"Dichloroethene, cis-1,2-",156592,C,96.936,0.0736,0.0000113,2.1,Koc,0,0,0.0319,1.315580909,200,800,-,-,0.01,0.01,-,-,-,-,FALSE,0.07,790,-,1,0.5,-,-,-,-,-,0.001,0.005,2875,2875
"Dichloroethene,1,2-trans- ",156605,C,96.936,0.0707,0.0000119,1.46,Koc,0,0,0.00532,0.219400954,331,600,-,-,0.02,0.02,-,-,-,-,FALSE,0.1,790,-,1,0.5,0.01,0.34,0.82,0.0072,0.036682764,0.001,0.005,2875,2875
"Benzo(g,h,i)Perylene",191242,PAH,276,0.049016517,5.65177E-005,6.2,Koc,0,0,0.00000014,5.77371E-006,0.000000001,0.0007,-,-,0.03,0.0267,-,-,-,-,FALSE,-,-,-,1,0.05,1.2,2.9,14,130,9.782988812,0.01,0.66,1300,1300
